"url","title","time"
"https://support.apple.com/en-us/HT213268","What's new in the updates for macOS Ventura - Apple Support","2023-03-11 16:29:42"
"https://gist.github.com/dropmeaword/9372cbeb29e8390521c2","Playing around with Chrome's history","2023-03-11 16:29:34"
"https://www.google.com/search?q=mac+ventura+13.2.1+google+history+file+path&sxsrf=AJOqlzWA8rsRIeBaZUvCtNhdZOD5_cxRWQ%3A1678579769940&ei=ORgNZKj-OMOu0PEPyo2ckAM&oq=mac+ventura+13.2.1&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgBMgUIIRCgATIFCCEQoAE6CggAEEcQ1gQQsAM6BAgjECc6BQgAEJECOgQIABBDOgsIABCABBCxAxCDAToFCAAQgAQ6DQguEIAEEBQQhwIQsQM6BAguEEM6CAgAEIAEELEDOgcIABCxAxBDOgsILhCABBDHARDRAzoLCC4QxwEQ0QMQgAQ6CggAEIAEEBQQhwI6BggAEBYQHjoICAAQFhAeEAo6BwgAEIAEEApKBAhBGABQrAtYnl5g1HRoBXABeACAAXmIAb0OkgEEMTMuN5gBAKABAcgBCMABAQ&sclient=gws-wiz-serp","mac ventura 13.2.1 google history file path - Google Search","2023-03-11 16:15:21"
"https://gist.github.com/dropmeaword/9372cbeb29e8390521c2#:~:text=Chrome%20keeps%20its%20history%2C%20in,modify%20the%20sql%20code%20slightly.","Playing around with Chrome's history","2023-03-11 16:10:57"
"https://gist.github.com/auth/github?return_to=https%3A%2F%2Fgist.github.com%2Fdropmeaword%2F9372cbeb29e8390521c2#:~:text=Chrome%20keeps%20its%20history%2C%20in,modify%20the%20sql%20code%20slightly.","Playing around with Chrome's history","2023-03-11 16:10:57"
"https://github.com/login/oauth/authorize?client_id=7e0a3cd836d3e544dbd9&redirect_uri=https%3A%2F%2Fgist.github.com%2Fauth%2Fgithub%2Fcallback%3Freturn_to%3Dhttps%253A%252F%252Fgist.github.com%252Fdropmeaword%252F9372cbeb29e8390521c2&response_type=code&state=626228a3c986bcc0e88be29269633bc8611a95d8b1a49078ec19365b7b2a2504#:~:text=Chrome%20keeps%20its%20history%2C%20in,modify%20the%20sql%20code%20slightly.","Playing around with Chrome's history","2023-03-11 16:10:57"
"https://gist.github.com/auth/github/callback?return_to=https://gist.github.com/dropmeaword/9372cbeb29e8390521c2&browser_session_id=39b66d8e77c1b9797ec1810189a90e82118ff69a5c124dfe41cd12e3b0777de6&code=89d6bb342a670ff3a92c&state=626228a3c986bcc0e88be29269633bc8611a95d8b1a49078ec19365b7b2a2504#:~:text=Chrome%20keeps%20its%20history%2C%20in,modify%20the%20sql%20code%20slightly.","Playing around with Chrome's history","2023-03-11 16:10:57"
"https://www.google.com/search?q=mac+google+history+file+path&oq=mac+google+history+file+path&aqs=chrome..69i57j33i160l2.9173j0j7&sourceid=chrome&ie=UTF-8","mac google history file path - Google Search","2023-03-11 16:09:30"
"https://medium.com/@shimo164/search-your-chrome-history-with-python-7d72ed7265b9?source=user_profile---------9----------------------------","Search your Chrome-history with Python | by shimo | Medium","2023-03-11 16:03:03"
"https://www.google.com/search?q=python+read+chrome+history&sxsrf=AJOqlzVENWGxXNGI_0QGjAml-WKlprtX5w%3A1678579365417&ei=pRYNZJuLGfWC0PEPnPKekAM&oq=write_browserhistory_csv&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQARgBMgcIIxCwAxAnMgoIABBHENYEELADMgoIABBHENYEELADSgQIQRgAUABYAGCQFGgBcAF4AIABAIgBAJIBAJgBAMgBA8ABAQ&sclient=gws-wiz-serp","python read chrome history - Google Search","2023-03-11 16:02:59"
"https://stackoverflow.com/questions/30777897/python-3-4-google-chrome-history","python 3.4 Google Chrome history - Stack Overflow","2023-03-11 16:02:52"
"https://www.google.com/search?q=write_browserhistory_csv+&sxsrf=AJOqlzX0Ky2_kSGMI3hclZWP3QrXeaZmpw%3A1678579344545&ei=kBYNZIf3IKC60PEP6eqs8Ac&ved=0ahUKEwiH_7usi9X9AhUgHTQIHWk1C34Q4dUDCBA&uact=5&oq=write_browserhistory_csv+&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIECCMQJzoKCAAQRxDWBBCwA0oECEEYAFC5DFi5DGDWE2gBcAF4AIABS4gBS5IBATGYAQCgAQHIAQjAAQE&sclient=gws-wiz-serp","write_browserhistory_csv - Google Search","2023-03-11 16:02:46"
"https://www.google.com/search?q=write_browserhistory_csv+safari+permission+denied&sxsrf=AJOqlzVdOFwndFVhazxXDB36s6-so0EN8Q%3A1678579330464&ei=ghYNZKiAHJve0PEP_uya0AI&ved=0ahUKEwioyeCli9X9AhUbLzQIHX62BioQ4dUDCBA&uact=5&oq=write_browserhistory_csv+safari+permission+denied&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQogQyBQgAEKIEMgUIABCiBDIFCAAQogQ6CggAEEcQ1gQQsANKBAhBGABQzhVYi1lg6FxoBXABeACAAZABiAG6B5IBAzQuNZgBAKABAcgBCMABAQ&sclient=gws-wiz-serp","write_browserhistory_csv safari permission denied - Google Search","2023-03-11 16:02:39"
"https://github.com/pesos/browser-history/issues/56","[BUG] Mac OS safari Permission Error · Issue #56 · browser-history/browser-history","2023-03-11 16:02:37"
"https://github.com/browser-history/browser-history/issues/56","[BUG] Mac OS safari Permission Error · Issue #56 · browser-history/browser-history","2023-03-11 16:02:37"
"https://www.google.com/search?q=write_browserhistory_csv+permission+denied&sxsrf=AJOqlzWN-MPjYMSdLkBspwfw2LaB1SFvuA%3A1678578972512&ei=HBUNZPjzHubn0PEP15WhsA4&oq=write_browserhistory_csv++permiss&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQARgAMgcIIRCgARAKMgcIIRCgARAKMgcIIRCgARAKOgcIIxDqAhAnOg0IABCPARDqAhC0AhgBOg0ILhCPARDqAhC0AhgBOgUIABCiBDoFCCEQqwJKBAhBGABQ4QJYgxlgyiNoAXABeACAAYMBiAGbCJIBAzMuN5gBAKABAaABArABFMABAdoBBggBEAEYCg&sclient=gws-wiz-serp","write_browserhistory_csv permission denied - Google Search","2023-03-11 16:02:11"
"https://www.google.com/search?q=browserhistory+python++*+SAFARI+Database+Permission+Denied.&sxsrf=AJOqlzU6M10S6RRlmBO7lA-ZWv2xf5ZoNw%3A1678578958524&ei=DhUNZM3OH7TE9AOn0b6QAw&ved=0ahUKEwjNjbP0idX9AhU0In0KHaeoDzIQ4dUDCBA&uact=5&oq=browserhistory+python++*+SAFARI+Database+Permission+Denied.&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzoKCAAQRxDWBBCwAzoFCCEQoAFKBAhBGABQ1QNYvRpg5xxoAXABeACAAYQBiAH9ApIBAzMuMZgBAKABAqABAcgBBcABAQ&sclient=gws-wiz-serp","browserhistory python * SAFARI Database Permission Denied. - Google Search","2023-03-11 15:56:44"
"https://www.google.com/search?q=browserhistory+python&sxsrf=AJOqlzW-pklzwExHW-jzmVWJdoJ9yWEFEQ%3A1678578939665&ei=-xQNZOiaKPOA0PEP6cmISA&ved=0ahUKEwiohLTridX9AhVzADQIHekkAgkQ4dUDCBA&uact=5&oq=browserhistory+python&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIYDMgUIABCGAzoKCAAQRxDWBBCwAzoHCAAQsAMQQzoECAAQQzoGCAAQFhAeSgQIQRgAUK0NWMwYYLMbaAFwAXgAgAFaiAHMBJIBATeYAQCgAQHIAQrAAQE&sclient=gws-wiz-serp","browserhistory python - Google Search","2023-03-11 15:55:59"
"https://www.google.com/search?q=browserhistory&oq=browserhistory&aqs=chrome..69i57j0i512l2j0i10i512j0i512l5j0i10i512.597j0j7&sourceid=chrome&ie=UTF-8","browserhistory - Google Search","2023-03-11 15:55:40"
"https://chat.openai.com/chat?__cf_chl_rt_tk=SNiBIAI0SU79du3tmqiyP1x6T5H3Bv.dQGjncLxpUH0-1678578233-0-gaNycGzNF5A","https://chat.openai.com/chat?__cf_chl_rt_tk=SNiBIAI0SU79du3tmqiyP1x6T5H3Bv.dQGjncLxpUH0-1678578233-0-gaNycGzNF5A","2023-03-11 15:43:53"
